time hsql_1	psql_1 psql_3	hsql_3 
0	3765.793	4258.084	6367.222	5737.858
5	3868.342	4068.852	6117.371	5489.02
10	3874.944	3960.295	6076.522	5391.844
15	3641.972	4088.226	6099.782	5516.553
20	3699.869	3983.255	5930.698	5686.528
25	3738.42	4017.665	5783.026	5565.77
30	3559.422	4168.252	5764.047	5443.017
35	3757.074	4179.36	5954.873	5521.399
40	3670.082	4044.624	5888.626	5436.062
45	3561.99	3909.962	5892.354	5178.801
50	3716.052	3967.204	5712.503	5181.25
55	3589.983	4069.337	5864.755	5347.04
60	3623.206	4040.319	5804.627	5297.662
65	3626.971	4048.124	5786.732	5213.475
70	3774.879	4026.958	5614.027	5201.575
75	3692.502	4040.061	5675.173	5341.913
80	3711.813	3956.038	5781.428	5443.076
85	3718.507	4029.394	5775.964	5302.22
90	3632.666	3937.515	5878.247	5309.068
95	3728.109	4018.403	6123.781	5338.341
100	3675.307	4058.111	5856.251	5329.682
105	3687.445	4043.549	5814.452	5424.796
110	3697.776	3962.876	5930.624	5301.09
115	3619.267	3892.539	5778.542	5300.761
120	3655.431	3949.925	5627.13	5354.614
125	3588.158	3985.492	5837.258	5282.031
130	3605.789	4014.789	5804.658	5344.718
135	3542.475	3951.75	5854.445	5291.951
140	3631.342	3974.784	5793.766	5345.488
145	3593.226	4027.248	5993.476	5259.853
150	3632.736	4077.884	6001.998	5238.142
155	3630.012	4119.261	5678.858	5197.675
160	3699.709	4080.554	5682.066	5364.098
165	3777.143	3978.766	5609	5394.892
170	3753.783	4093.831	5549.984	5320.669
175	3799.549	3953.761	5606.36	5279.719
180	3532.859	3970.251	5608.79	5169.107
185	3536.097	3918.32	5696.434	5222.891
190	3706.212	4026.181	5644.996	5227.921
195	3814.995	3928.542	5489.636	5290.908
200	3728.14	3992.667	5791.058	5494.214
205	3590.061	4086.532	5959.747	5287.686
210	3699.726	4042.539	5846.61	5206.653
215	3546.207	4084.981	5716.599	5327.557
220	3577.148	3967.662	5465.21	5310.051
225	3610.381	4102.542	5564.876	5390.512
230	3680.882	4132.27	5757.868	5247.198
235	3752.368	3991.94	5874.811	5296.781
240	3601.589	4029.183	5787.148	5305.19
245	3576.086	4095.682	5644.121	5301.072
250	3529.53	3994.325	5670.769	5275.096
255	3436.913	3907.187	5777.265	5413.449
260	3630.781	4036.569	5745.41	5317.792
265	3548.195	3928.882	5713.474	5324.078
270	3677.276	4020.259	5696.172	5374.741
275	3825.837	4058.661	5450.087	5486.984
280	3593.663	4055.715	5576.578	5405.242
285	3726.624	4058.721	5609.036	5378.214
290	3466.848	3904.883	5689.819	5364.713
295	3288.384	3808.168	5208.168	5384.453
