SCHEMA_NAME	SUBSCRIPTION_NAME	REMOTE_SOURCE_NAME	STATE	OPTIMIZED_QUERY_STRING
SAPDI_ERP_XIN	SUB_VBAK	QIN	CREATED	
SAPDI_ERP_XIN	SUB_AFPO	QIN	CREATED	
SALESFORCE	SUB_VT_X8D_Team_Member__c	SFDC	CREATED	
SALESFORCE	SUB_VT_X8D_Case_Asset__c	SFDC	CREATED	
SALESFORCE	SUB_VT_WorkType	SFDC	CREATED	
SALESFORCE	SUB_VT_Goal__c	SFDC	APPLY_CHANGE_DATA	SELECT "T1"."Id", "T1"."IsDeleted", "T1"."Name", "T1"."CurrencyIsoCode", "T1"."RecordTypeId", "T1"."CreatedDate", "T1"."CreatedById", "T1"."LastModifiedDate", "T1"."LastModifiedById", "T1"."SystemModstamp", "T1"."LastActivityDate", "T1"."Copy_goal_with_account_plan__c", "T1"."AccountPlan__c", "T1"."Status__c", "T1"."Result__c", "T1"."PlanDetails__c", "T1"."ResultDetails__c", "T1"."View__c", "T1"."DueDate__c", "T1"."BusinessAccountName__c", "T1"."ClosedTaskSummary__c", "T1"."OpenedTaskSummary__c", "T1"."OverdueTaskSummary__c", "T1"."Account_Plan_ID__c", "T1"."Legacy_System_Id__c", "T1"."Has_Tasks__c", "T1"."Is_complete__c", "T1"."Rich_Text_Fields_Complete__c", "T1"."Category_Main__c", "T1"."Category_Sub__c", "T1"."Account_Sales_Org__c", "T1"."CIC_Code__c", "T1"."MidTerm_Goal__c", "T1"."Motivation__c", "T1"."Remarks_History__c", "T1"."Remarks__c", "T1"."SPK1__c", "T1"."Description_Remarks__c", "T1"."CIC_Code_Formula__c", "T1"."CIC_Code_Multi__c", "T1"."Global_Strategic_Direction__c", "T1"."GoalYearlyPlanning__c
SALESFORCE	SUB_VT_Asset	SFDC	APPLY_CHANGE_DATA	SELECT "T1"."Id", "T1"."ContactId", "T1"."AccountId", "T1"."ParentId", "T1"."RootAssetId", "T1"."Product2Id", "T1"."ProductCode", "T1"."ProductFamily", "T1"."ProductDescription", "T1"."IsCompetitorProduct", "T1"."CreatedDate", "T1"."CreatedById", "T1"."LastModifiedDate", "T1"."LastModifiedById", "T1"."SystemModstamp", "T1"."IsDeleted", "T1"."CurrencyIsoCode", "T1"."Name", "T1"."SerialNumber", "T1"."InstallDate", "T1"."PurchaseDate", "T1"."UsageEndDate", "T1"."Status", "T1"."Price", "T1"."Quantity", "T1"."Description", "T1"."OwnerId", "T1"."RecordTypeId", "T1"."LocationId", "T1"."AssetProvidedById", "T1"."AssetServicedById", "T1"."IsInternal", "T1"."AssetLevel", "T1"."StockKeepingUnit", "T1"."LastViewedDate", "T1"."LastReferencedDate", "T1"."Created_Manually__c", "T1"."Manufacturing_Date__c", "T1"."Order_Code__c", "T1"."Bus__c", "T1"."CER_Link__c", "T1"."Communication_Type__c", "T1"."Device_Type__c", "T1"."Equipment_Number__c", "T1"."Is_Active__c", "T1"."Order_Code_Extended__c", "T1"."Software_Version__c", "T1
SALESFORCE	SUB_VT_X8D_Case__c	SFDC	CREATED	
SALESFORCE	SUB_VT_Event	SFDC	APPLY_CHANGE_DATA	SELECT "T1"."Id", "T1"."WhoId", "T1"."WhatId", "T1"."WhoCount", "T1"."WhatCount", "T1"."Subject", "T1"."Location", "T1"."IsAllDayEvent", "T1"."ActivityDateTime", "T1"."ActivityDate", "T1"."DurationInMinutes", "T1"."StartDateTime", "T1"."EndDateTime", "T1"."EndDate", "T1"."Description", "T1"."AccountId", "T1"."OwnerId", "T1"."CurrencyIsoCode", "T1"."Type", "T1"."IsPrivate", "T1"."ShowAs", "T1"."IsDeleted", "T1"."IsChild", "T1"."IsGroupEvent", "T1"."GroupEventType", "T1"."CreatedDate", "T1"."CreatedById", "T1"."LastModifiedDate", "T1"."LastModifiedById", "T1"."SystemModstamp", "T1"."IsArchived", "T1"."IsVisibleInSelfService", "T1"."RecurrenceActivityId", "T1"."IsRecurrence", "T1"."RecurrenceStartDateTime", "T1"."RecurrenceEndDateOnly", "T1"."RecurrenceTimeZoneSidKey", "T1"."RecurrenceType", "T1"."RecurrenceInterval", "T1"."RecurrenceDayOfWeekMask", "T1"."RecurrenceDayOfMonth", "T1"."RecurrenceInstance", "T1"."RecurrenceMonthOfYear", "T1"."ReminderDateTime", "T1"."IsReminderSet", "T1"."EventSubtype", "T1"."IsRec
SALESFORCE	SUB_VT_CaseArticle	SFDC	APPLY_CHANGE_DATA	SELECT "T1"."Id", "T1"."CaseId", "T1"."KnowledgeArticleId", "T1"."KnowledgeArticleVersionId", "T1"."CreatedById", "T1"."CreatedDate", "T1"."SystemModstamp", "T1"."IsDeleted", "T1"."ArticleLanguage", "T1"."ArticleVersionNumber", "T1"."IsSharedByEmail" FROM "CaseArticle" "T1" 
SALESFORCE	SUB_VT_User	SFDC	CREATED	
SALESFORCE	SUB_VT_Surveys__c	SFDC	CREATED	
SALESFORCE	SUB_VT_ServiceResource	SFDC	CREATED	
SALESFORCE	SUB_VT_WorkOrder	SFDC	CREATED	
SALESFORCE	SUB_VT_Account_Plan__c	SFDC	APPLY_CHANGE_DATA	SELECT "T1"."Id", "T1"."OwnerId", "T1"."IsDeleted", "T1"."Name", "T1"."CurrencyIsoCode", "T1"."RecordTypeId", "T1"."CreatedDate", "T1"."CreatedById", "T1"."LastModifiedDate", "T1"."LastModifiedById", "T1"."SystemModstamp", "T1"."LastActivityDate", "T1"."LastViewedDate", "T1"."LastReferencedDate", "T1"."Account__c", "T1"."ValidFrom__c", "T1"."ValidTo__c", "T1"."Account_Plan_Quality__c", "T1"."Stars_All_Goals_Are_Complete__c", "T1"."Stars_All_Goals_Have_Tasks__c", "T1"."Stars_Contains_Customer_Purchase__c", "T1"."Stars_Contains_SWOT__c", "T1"."Stars_Contains_Sales_Target__c", "T1"."Stars_Total_Score__c", "T1"."Stars_Count_Complete_Goals__c", "T1"."Stars_Count_Goals__c", "T1"."Stars_Count_Goals_with_Tasks__c", "T1"."Account_Plan_for_Current_Year__c", "T1"."Account_Sales_Org__c", "T1"."Account_Country__c", "T1"."MidTerm_Account_Plan__c", "T1"."Parent_Account_Plan__c", "T1"."To_be_cloned__c", "T1"."Valid_From_Year__c", "T1"."Yearly_Account_Plan_attached__c", "T1"."Count_MidTerm_ST__c", "T1"."Description_Remarks__c
SALESFORCE	SUB_VT_Task	SFDC	CREATED	SELECT "T1"."Id", "T1"."RecordTypeId", "T1"."WhoId", "T1"."WhatId", "T1"."WhoCount", "T1"."WhatCount", "T1"."Subject", "T1"."ActivityDate", "T1"."Status", "T1"."Priority", "T1"."IsHighPriority", "T1"."OwnerId", "T1"."Description", "T1"."CurrencyIsoCode", "T1"."Type", "T1"."IsDeleted", "T1"."AccountId", "T1"."IsClosed", "T1"."CreatedDate", "T1"."CreatedById", "T1"."LastModifiedDate", "T1"."LastModifiedById", "T1"."SystemModstamp", "T1"."IsArchived", "T1"."IsVisibleInSelfService", "T1"."CallDurationInSeconds", "T1"."CallType", "T1"."CallDisposition", "T1"."CallObject", "T1"."ReminderDateTime", "T1"."IsReminderSet", "T1"."RecurrenceActivityId", "T1"."IsRecurrence", "T1"."RecurrenceStartDateOnly", "T1"."RecurrenceEndDateOnly", "T1"."RecurrenceTimeZoneSidKey", "T1"."RecurrenceType", "T1"."RecurrenceInterval", "T1"."RecurrenceDayOfWeekMask", "T1"."RecurrenceDayOfMonth", "T1"."RecurrenceInstance", "T1"."RecurrenceMonthOfYear", "T1"."RecurrenceRegeneratedType", "T1"."TaskSubtype", "T1"."CompletedDateTime", "T1"."GRP_
SALESFORCE	SUB_VT_Service_Message__c	SFDC	CREATED	
